pittsburrgh,0.0
south gyle,0.0
dalgety bay,0.0
mc kees rocks,0.0
baden-baden,0.0
lasswade,0.0
mont-royal,0.0
stowe township,0.0
woolwich,0.0
dormont,0.0
regent square,0.0
loanhead,0.0
boisbriand,0.0
st clements,0.0
saint laurent,0.0
tonopah,0.0
bloomfield,0.0
central city village,0.0
pointe-aux-trembles,0.0
centropolis laval,0.0
new town,0.0
braddock,0.0
youngtown,0.0
montéal,0.0
deux-montagnes,0.0
mcfarland,0.0
lachine,7.142857142857142
shadyside,0.0
westmount,0.0
mascouche,0.0
quebec,0.0
balerno,0.0
sainte-genevieve,0.0
millvale,0.0
saint-lambert,0.0
wesley chapel,0.0
jockgrim,0.0
montreal-west,0.0
sainte-thérèse,0.0
outremont,0.0
saint-leonard,0.0
terrebonne,0.0
brentwood,0.0
whitehall,0.0
deforest,0.0
city of edinburgh,0.0
anjou,0.0
sainte-therese,0.0
saint-laurent,6.666666666666667
rosemère,0.0
cambridge,0.0
communauté-urbaine-de-montréal,0.0
mount washington,0.0
weddington,0.0
delmont,0.0
mount holly,0.0
arlington,0.0
st jacobs,0.0
lower lawrenceville,0.0
karlsbad,0.0
dravosburg,0.0
beaconsfield,0.0
bietigheim,0.0
vimont,0.0
rock hill,0.0
las vegas ,0.0
sainte-ann-de-bellevue,0.0
sharpsburg,0.0
montreal-nord,0.0
dollard-des ormeaux,0.0
saint-hubert,0.0
montréal-ouest,0.0
montreal-est,0.0
weingarten (baden),0.0
l'île-bizard,0.0
scottsdale country acres,0.0
crafton,0.0
bonnyrigg and lasswade,0.0
dane,0.0
l'île-des-soeurs,0.0
rosemere,0.0
heidelberg,0.0
clark county,0.0
bocholt,0.0
old town,0.0
fabreville,0.0
wörth am rhein,0.0
blainville,0.0
queensferry,0.0
new dundee,0.0
inverkeithing,0.0
monroe,0.0
neuburg,0.0
saint-eustache,0.0
cote-saint-luc,0.0
brossard,5.714285714285714
downtown,0.0
stutensee neuthard,0.0
swissvale,0.0
newbridge,0.0
concord mills,0.0
glendale az,0.0
ste-rose,0.0
cote-des-neiges-notre-dame-de-grace,0.0
summerlin south,0.0
enterprise,0.0
phoenix sky harbor center,0.0
longueuil,7.6923076923076925
waldbronn,0.0
nellis afb,0.0
conestogo,0.0
chateau,0.0
montréal-nord,0.0
la prairie,0.0
allentown,0.0
st-laurent,0.0
lasalle,0.0
cramond bridge,0.0
